month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_tpm,passes,tf
2024-09,96526.1527,4.9269,-0.3721,-0.3919,16,87.5000,True,True,True,True,1D
2024-10,101429.9531,5.0803,-0.7646,-0.7646,15,86.6667,True,True,True,True,1D
2024-11,103646.8706,2.1857,-0.8271,-0.4900,19,63.1579,True,True,True,True,1D
2024-12,101739.2726,-1.8405,-1.8405,-1.1176,5,0.0000,False,True,False,False,1D
2025-01,109590.0377,7.7166,0.0000,0.0000,15,100.0000,True,True,True,True,1D
2025-02,125858.8496,14.8452,0.0000,0.0000,44,88.6364,True,True,True,True,1D
2025-03,137108.2874,8.9381,0.0000,0.0000,22,100.0000,True,True,True,True,1D
2025-04,147670.1733,7.7033,-0.7819,-0.7819,41,73.1707,True,True,True,True,1D
2025-05,145275.4760,-1.6217,-1.7382,-0.9121,10,30.0000,False,True,True,False,1D
2025-06,144234.2201,-0.7167,-0.7167,-0.3616,2,0.0000,False,True,False,False,1D
2025-07,143674.4815,-0.3881,-0.3881,-0.3881,1,0.0000,False,True,False,False,1D
2025-08,143165.1935,-0.3545,-0.7257,-0.3675,4,25.0000,False,True,False,False,1D
2025-09,178518.2220,24.6939,0.0000,0.0000,49,100.0000,True,True,True,True,1D
2025-10,234562.6416,31.3942,-0.3011,-0.2995,66,93.9394,True,True,True,True,1D
2025-11,234562.6416,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2025-12,251206.1180,7.0955,0.0000,0.0000,22,86.3636,True,True,True,True,1D
2026-01,342168.0280,36.2101,0.0000,0.0000,68,97.0588,True,True,True,True,1D
2026-02,342168.0280,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2026-03,315843.0899,-7.6936,-7.6936,-4.4171,18,0.0000,False,False,True,False,1D
2026-04,312354.2637,-1.1046,-1.1046,-0.7371,3,0.0000,False,True,False,False,1D
2026-05,312354.2637,0.0000,0.0000,0.0000,8,75.0000,False,True,True,False,1D
