entry_time,exit_time,direction,pnl_abs,win
2019-07-31 16:00:00,2019-07-31 20:00:00,L,-2009.087004536789,False
2019-08-02 08:00:00,2019-08-02 12:00:00,L,-1993.0143085004945,False
2019-08-06 04:00:00,2019-08-06 12:00:00,L,3970.480003653164,True
2019-08-08 00:00:00,2019-08-08 04:00:00,L,-2008.834034061716,False
2019-08-11 20:00:00,2019-08-12 04:00:00,L,-1992.7633617892222,False
2019-08-14 04:00:00,2019-08-14 08:00:00,L,4942.053137237271,True
2019-08-15 08:00:00,2019-08-15 16:00:00,L,1165.3974048201894,True
2019-08-16 08:00:00,2019-08-16 12:00:00,L,-2025.680859231368,False
2019-08-19 20:00:00,2019-08-20 04:00:00,L,86.5150510750463,True
2019-08-21 04:00:00,2019-08-21 08:00:00,L,-2010.1675327661176,False
2019-08-22 04:00:00,2019-08-22 08:00:00,L,-1994.0861925039885,False
2019-08-23 00:00:00,2019-08-23 08:00:00,L,671.4790327790663,True
2019-08-26 08:00:00,2019-08-26 16:00:00,L,910.961280956951,True
2019-08-28 04:00:00,2019-08-28 12:00:00,L,5623.785676211338,True
2019-08-29 12:00:00,2019-08-29 16:00:00,L,-2035.7833108835355,False
2019-08-30 08:00:00,2019-08-30 16:00:00,L,-79.60225961061424,False
2019-09-01 20:00:00,2019-09-02 00:00:00,L,-2018.8602263195826,False
2019-09-02 08:00:00,2019-09-02 16:00:00,L,2708.3293591113484,True
2019-09-04 08:00:00,2019-09-04 12:00:00,L,5060.939948454791,True
2019-09-05 04:00:00,2019-09-05 08:00:00,L,-2064.863498969555,False
2019-09-06 04:00:00,2019-09-06 08:00:00,L,-2048.3445909777984,False
2019-09-06 20:00:00,2019-09-09 00:00:00,L,1898.665700422082,True
2019-09-24 04:00:00,2019-09-24 12:00:00,L,1195.1489624942997,True
2019-09-25 12:00:00,2019-09-25 16:00:00,L,-2056.7083515533072,False
2019-10-03 04:00:00,2019-10-03 12:00:00,L,1145.8650983586874,True
2019-10-09 12:00:00,2019-10-09 16:00:00,L,5123.5540138193755,True
2019-10-25 16:00:00,2019-10-27 20:00:00,L,-671.7547596739297,False
2019-11-01 12:00:00,2019-11-01 16:00:00,L,-2085.0359995609138,False
2019-11-04 16:00:00,2019-11-05 00:00:00,L,-1955.577468268028,False
2019-12-03 04:00:00,2019-12-03 08:00:00,L,5131.777729545706,True
2019-12-04 12:00:00,2019-12-04 20:00:00,L,-1026.4579421553767,False
2019-12-05 12:00:00,2019-12-05 20:00:00,L,1318.315467912359,True
2019-12-16 16:00:00,2019-12-17 00:00:00,L,703.6007728413645,True
2019-12-17 16:00:00,2019-12-18 00:00:00,L,-232.38619015929012,False
2019-12-19 12:00:00,2019-12-19 16:00:00,L,5249.674726305401,True
2019-12-20 12:00:00,2019-12-20 20:00:00,L,213.9973692728968,True
2019-12-27 08:00:00,2019-12-27 12:00:00,L,-2143.5792672867874,False
2019-12-30 00:00:00,2019-12-30 08:00:00,L,-567.6604581658166,False
2019-12-30 12:00:00,2019-12-30 20:00:00,L,3610.00378867331,True
2020-01-01 20:00:00,2020-01-02 04:00:00,L,411.77904433793475,True
2020-01-06 16:00:00,2020-01-07 00:00:00,L,-250.5146535672348,False
2020-01-08 12:00:00,2020-01-08 16:00:00,L,-2152.0594949187184,False
2020-01-09 08:00:00,2020-01-09 16:00:00,L,462.4684901425464,True
2020-01-10 08:00:00,2020-01-10 16:00:00,L,4984.0961857883385,True
2020-01-13 20:00:00,2020-01-14 00:00:00,L,-2178.4155363668156,False
2020-01-15 16:00:00,2020-01-15 20:00:00,L,5402.470530189703,True
2020-01-16 08:00:00,2020-01-16 12:00:00,L,-2204.207976317399,False
2020-01-21 08:00:00,2020-01-21 12:00:00,L,-2186.5743125068598,False
2020-01-22 08:00:00,2020-01-22 16:00:00,L,1892.8005104300732,True
2020-01-23 08:00:00,2020-01-23 12:00:00,L,5460.560305225613,True
2020-01-24 04:00:00,2020-01-24 08:00:00,L,-2227.90860453205,False
2020-01-27 08:00:00,2020-01-27 16:00:00,L,2692.9715339318923,True
2020-01-28 04:00:00,2020-01-28 12:00:00,L,-1214.5385850724392,False
2020-01-28 20:00:00,2020-01-29 00:00:00,L,-2221.9127992866693,False
2020-01-31 00:00:00,2020-01-31 08:00:00,L,1640.5250625195224,True
2020-02-03 04:00:00,2020-02-03 08:00:00,L,-2217.2616973925324,False
2020-02-05 12:00:00,2020-02-05 20:00:00,L,1187.642587967023,True
2020-02-07 08:00:00,2020-02-07 12:00:00,L,5522.561861292821,True
2020-02-10 04:00:00,2020-02-10 12:00:00,L,1191.0036063299544,True
2020-02-11 00:00:00,2020-02-11 04:00:00,L,-2262.7332682581105,False
2020-02-11 20:00:00,2020-02-12 04:00:00,L,-2244.6314021120456,False
2020-02-14 04:00:00,2020-02-14 12:00:00,L,1539.729795111507,True
2020-02-17 08:00:00,2020-02-17 16:00:00,L,1903.8458806186875,True
2020-02-24 20:00:00,2020-02-25 04:00:00,L,-841.3652985802916,False
2020-02-26 00:00:00,2020-02-26 08:00:00,L,1401.9067049528987,True
2020-02-27 20:00:00,2020-02-28 04:00:00,L,-998.9962445991555,False
2020-03-04 20:00:00,2020-03-05 04:00:00,L,424.7362984601575,True
2020-03-09 16:00:00,2020-03-10 00:00:00,L,346.32015741649724,True
2020-03-10 04:00:00,2020-03-10 12:00:00,L,-1197.879727231483,False
2020-03-10 16:00:00,2020-03-11 04:00:00,L,1204.4690989944572,True
2020-03-11 16:00:00,2020-03-12 00:00:00,L,-2256.936484216296,False
2020-03-25 08:00:00,2020-03-25 16:00:00,L,1599.380621375405,True
2020-03-25 20:00:00,2020-03-26 00:00:00,L,-2251.6760373135685,False
2020-03-27 00:00:00,2020-03-27 04:00:00,L,-2233.66262901506,False
2020-03-27 12:00:00,2020-03-27 20:00:00,L,-863.3471395697275,False
2020-03-30 04:00:00,2020-03-30 12:00:00,L,1452.2305582725694,True
2020-03-30 20:00:00,2020-03-31 00:00:00,L,-2220.5043953325617,False
2020-04-08 04:00:00,2020-04-08 08:00:00,L,-2202.7403601699016,False
2020-04-15 00:00:00,2020-04-15 04:00:00,L,-2185.1184372885423,False
2020-04-15 16:00:00,2020-04-16 00:00:00,L,825.4666070426092,True
2020-04-16 20:00:00,2020-04-17 00:00:00,L,-2174.2412226465744,False
2020-04-17 04:00:00,2020-04-17 08:00:00,L,-2156.8472928654023,False
